   1: 8C TS KC 9H 4S vs. 7D 2S 5D 3S AC; P2 wins!
 349: 2S 3D TS TD 9S vs. KS 6S QS 5C 8D; P1 wins!
 350: 3C 6D 4S QC KC vs. JH QD TH KH AD; P2 wins!
 351: 9H AH 4D KS 2S vs. 8D JH JC 7C QS; P2 wins!
 352: 2D 6C TH 3C 8H vs. QD QH 2S 3S KS; P2 wins!
 353: 6H 5D 9S 4C TS vs. TD JS QD 9D JD; P2 wins!
 354: 5H 8H KH 8S KS vs. 7C TD AD 4S KD; P1 wins!
 355: 2C 7C JC 5S AS vs. 6C 7D 8S 5H 9C; P2 wins!
 356: 6S QD 9S TS KH vs. QS 5S QH 3C KC; P2 wins!
 357: 7D 3H 3C KD 5C vs. AS JH 7H 6H JD; P1 wins!
 358: 9D 5C 9H KC 8H vs. KS 4S AD 4D 2S; P1 wins!
 359: 3S JD QD 8D 2S vs. 7C 5S 6S 5H TS; P2 wins!
 360: 6D 9S KC TD 3S vs. 6H QD JD 5C 8D; P1 wins!
 361: 5H 9D TS KD 8D vs. 6H TD QC 4C 7D; P1 wins!
 362: 6D 4S JD 9D AH vs. 9S AS TD 9H QD; P2 wins!
 363: 2D 5S 2H 9C 6H vs. 9S TD QC 7D TC; P2 wins!
 364: 3S 2H KS TS 2C vs. 9C 8S JS 9D 7D; P1 wins!
 365: 3C KC 6D 5D 6C vs. 6H 8S AS 7S QS; P1 wins!
 366: JH 9S 2H 8D 4C vs. 8H 9H AD TH KH; P2 wins!
 367: QC AS 2S JS 5C vs. 6H KD 3H 7H 2C; P1 wins!
 368: QD 8H 2S 8D 3S vs. 6D AH 2C TC 5C; P1 wins!
 369: JD JS TS 8S 3H vs. 5D TD KC JC 6H; P1 wins!
 370: 6S QS TC 3H 5D vs. AH JC 7C 7D 4H; P2 wins!
 371: 7C 5D 8H 9C 2H vs. 9H JH KH 5S 2C; P2 wins!
 372: 9C 7H 6S TH 3S vs. QC QD 4C AC JD; P2 wins!
 373: 2H 5D 9S 7D KC vs. 3S QS 2D AS KH; P2 wins!
 374: 2S 4S 2H 7D 5C vs. TD TH QH 9S 4D; P2 wins!
 375: 6D 3S TS 6H 4H vs. KS 9D 8H 5S 2D; P1 wins!
 376: 9H KS 4H 3S 5C vs. 5D KH 6H 6S JS; P2 wins!
 377: KC AS 8C 4C JC vs. KH QC TH QD AH; P2 wins!
 378: 6S KH 9S 2C 5H vs. TC 3C 7H JC 4D; P1 wins!
 379: JD 4S 6S 5S 8D vs. 7H 7S 4D 4C 2H; P2 wins!
 380: 7H 9H 5D KH 9C vs. 7C TS TC 7S 5H; P2 wins!
 381: 4C 8D QC TS 4S vs. 9H 3D AD JS 7C; P1 wins!
 382: 8C QS 5C 5D 3H vs. JS AH KC 4S 9D; P1 wins!
 383: TS JD 8S QS TH vs. JH KH 2D QD JS; P2 wins!
 384: JD QC 5D 6S 9H vs. 3S 2C 8H 9S TS; P1 wins!
 385: 2S 4C AD 7H JC vs. 5C 2D 6D 4H 3D; P2 wins!
 386: 7S JS 2C 4H 8C vs. AD QD 9C 3S TD; P2 wins!
 387: JD TS 4C 6H 9H vs. 7D QD 6D 3C AS; P2 wins!
 388: AS 7C 4C 6S 5D vs. 5S 5C JS QC 4S; P1 wins!
 389: KD 6S 9S 7C 3C vs. 5S 7D JH QD JS; P2 wins!
 390: 4S 7S JH 2C 8S vs. 5D 7H 3D QH AD; P2 wins!
 391: TD 6H 2H 8D 4H vs. 2D 7C AD KH 5D; P2 wins!
 392: TS 3S 5H 2C QD vs. AH 2S 5C KH TD; P2 wins!
 393: KC 4D 8C 5D AS vs. 6C 2H 2S 9H 7C; P2 wins!
 394: KD JS QC TS QS vs. KH JH 2C 5D AD; P1 wins!
 395: 3S 5H KC 6C 9H vs. 3H 2H AD 7D 7S; P2 wins!
 396: 7S JS JH KD 8S vs. 7D 2S 9H 7C 2H; P2 wins!
 397: 9H 2D 8D QC 6S vs. AD AS 8H 5H 6C; P2 wins!
 398: 2S 7H 6C 6D 7D vs. 8C 5D 9D JC 3C; P1 wins!
 399: 7C 9C 7H JD 2H vs. KD 3S KH AD 4S; P2 wins!
 400: QH AS 9H 4D JD vs. KS KD TS KH 5H; P2 wins!
 401: 4C 8H 5S 3S 3D vs. 7D TD AD 7S KC; P1 wins!
 402: JS 8S 5S JC 8H vs. TH 9C 4D 5D KC; P1 wins!
 403: 7C 5S 9C QD 2C vs. QH JS 5H 8D KH; P2 wins!
 404: TD 2S KS 3D AD vs. KC 7S TC 3C 5D; P1 wins!
 405: 4C 2S AD QS 6C vs. 9S QD TH QH 5C; P2 wins!
 406: 8C AD QS 2D 2S vs. KC JD KS 6C JC; P2 wins!
 407: 8D 4D JS 2H 5D vs. QD 7S 7D QH TS; P2 wins!
 408: 6S 7H 3S 8C 8S vs. 9D QS 8H 6C 9S; P2 wins!
 409: 4S TC 2S 5C QD vs. 4D QS 6D TH 6S; P2 wins!
 410: 3S 5C 9D 6H 8D vs. 4C 7D TC 7C TD; P2 wins!
 411: AH 6S AS 7H 5S vs. KD 3H 5H AC 4C; P1 wins!
 412: 8D 8S AH KS QS vs. 2C AD 6H 7D 5D; P1 wins!
 413: 6H 9H 9S 2H QS vs. 8S 9C 5D 2D KD; P1 wins!
 414: TS QC 5S JH 7D vs. 7S TH 9S 9H AC; P2 wins!
 415: 7H 3H 6S KC 4D vs. 6D 5C 4S QD TS; P1 wins!
 416: TD 2S 7C QD 3H vs. JH 9D 4H 7S 7H; P2 wins!
 417: KS 3D 4H 5H TC vs. 2S AS 2D 6D 7D; P2 wins!
 418: 8H 3C 7H TD 3H vs. AD KC TH 9C KH; P2 wins!
 419: TC 4C 2C 9S 9D vs. 9C 5C 2H JD 3C; P1 wins!
 420: 3H AC TS 5D AD vs. 8D 6H QC 6S 8C; P2 wins!
 421: 2S TS 3S JD 7H vs. 8S QH 4C 5S 8D; P2 wins!
 422: AC 4S 6C 3C KH vs. 3D 7C 2D 8S 2H; P2 wins!
 423: 4H 6C 8S TH 2H vs. 4S 8H 9S 3H 7S; P1 wins!
 424: 7C 4C 9C 2C 5C vs. AS 5D KD 4D QH; P1 wins!
 425: 9H 4H TS AS 7D vs. 8D 5D 9S 8C 2H; P2 wins!
 426: QC KD AC AD 2H vs. 7S AS 3S 2D 9S; P1 wins!
 427: 2H QC 8H TC 6D vs. QD QS 5D KH 3C; P2 wins!
 428: TH JD QS 4C 2S vs. 5S AD 7H 3S AS; P2 wins!
 429: 7H JS 3D 6C 3S vs. 6D AS 9S AC QS; P2 wins!
 430: 9C TS AS 8C TC vs. 8S 6H 9D 8D 6C; P2 wins!
 431: 4D JD 9C KC 7C vs. 6D KS 3S 8C AS; P2 wins!
 432: 3H 6S TC 8D TS vs. 3S KC 9S 7C AS; P1 wins!
 433: 8C QC 4H 4S 8S vs. 6C 3S TC AH AC; P2 wins!
 434: 4D 7D 5C AS 2H vs. 6S TS QC AD TC; P2 wins!
 435: QD QC 8S 4S TH vs. 3D AH TS JH 4H; P1 wins!
 436: 5C 2D 9S 2C 3H vs. 3C 9D QD QH 7D; P2 wins!
 437: KC 9H 6C KD 7S vs. 3C 4D AS TC 2D; P1 wins!
 438: 3D JS 4D 9D KS vs. 7D TH QC 3H 3C; P2 wins!
 439: 8D 5S 2H 9D 3H vs. 8C 4C 4H 3C TH; P2 wins!
 440: JC TH 4S 6S JD vs. 2D 4D 6C 3D 4C; P1 wins!
 441: TS 3S 2D 4H AC vs. 2C 6S 2H JH 6H; P2 wins!
 442: TD 8S AD TC AH vs. AC JH 9S 6S 7S; P1 wins!
 443: 6C KC 4S JD 8D vs. 9H 5S 7H QH AH; P2 wins!
 444: KD 8D TS JH 5C vs. 5H 3H AD AS JS; P2 wins!
 445: 2D 4H 3D 6C 8C vs. 7S AD 5D 5C 8S; P2 wins!
 446: TD 5D 7S 9C 4S vs. 5H 6C 8C 4C 8S; P2 wins!
 447: JS QH 9C AS 5C vs. QS JC 3D QC 7C; P2 wins!
 448: JC 9C KH JH QS vs. QC 2C TS 3D AD; P1 wins!
 449: 5D JH AC 5C 9S vs. TS 4C JD 8C KS; P1 wins!
 450: KC AS 2D KH 9H vs. 2C 5S 4D 3D 6H; P2 wins!
 451: TH AH 2D 8S JC vs. 3D 8C QH 7S 3S; P2 wins!
 452: 8H QD 4H JC AS vs. KH KS 3C 9S 6D; P2 wins!
 453: 9S QH 7D 9C 4S vs. AC 7H KH 4D KD; P2 wins!
 454: AH AD TH 6D 9C vs. 9S KD KS QH 4H; P1 wins!
 455: QD 6H 9C 7C QS vs. 6D 6S 9D 5S JH; P1 wins!
 456: AH 8D 5H QD 2H vs. JC KS 4H KH 5S; P2 wins!
 457: 5C 2S JS 8D 9C vs. 8C 3D AS KC AH; P2 wins!
 458: JD 9S 2H QS 8H vs. 5S 8C TH 5C 4C; P2 wins!
 459: QC QS 8C 2S 2C vs. 3S 9C 4C KS KH; P2 wins!
 460: 2D 5D 8S AH AD vs. TD 2C JS KS 8C; P1 wins!
 461: TC 5S 5H 8H QC vs. 9H 6H JD 4H 9S; P1 wins!
 462: 3C JH 4H 9H AH vs. 4S 2H 4C 8D AC; P2 wins!
 463: 8S TH 4D 7D 6D vs. QD QS 7S TC 7C; P2 wins!
 464: KH 6D 2D JD 5H vs. JS QD JH 4H 4S; P2 wins!
 465: 9C 7S JH 4S 3S vs. TS QC 8C TC 4H; P2 wins!
 466: QH 9D 4D JH QS vs. 3S 2C 7C 6C 2D; P1 wins!
 467: 4H 9S JD 5C 5H vs. AH 9D TS 2D 4C; P1 wins!
 468: KS JH TS 5D 2D vs. AH JS 7H AS 8D; P2 wins!
 469: JS AH 8C AD KS vs. 5S 8H 2C 6C TH; P1 wins!
 470: 2H 5D AD AC KS vs. 3D 8H TS 6H QC; P1 wins!
 471: 6D 4H TS 9C 5H vs. JS JH 6S JD 4C; P2 wins!
 472: JH QH 4H 2C 6D vs. 3C 5D 4C QS KC; P2 wins!
 473: 6H 4H 6C 7H 6S vs. 2S 8S KH QC 8C; P2 wins!
 474: 3H 3D 5D KS 4H vs. TD AD 3S 4D TS; P2 wins!
 475: 5S 7C 8S 7D 2C vs. KS 7S 6C 8C JS; P1 wins!
 476: 5D 2H 3S 7C 5C vs. QD 5H 6D 9C 9H; P2 wins!
 477: JS 2S KD 9S 8D vs. TD TS AC 8C 9D; P2 wins!
 478: 5H QD 2S AC 8C vs. 9H KS 7C 4S 3C; P1 wins!
 479: KH AS 3H 8S 9C vs. JS QS 4S AD 4D; P2 wins!
 480: AS 2S TD AD 4D vs. 9H JC 4C 5H QS; P1 wins!
 481: 5D 7C 4H TC 2D vs. 6C JS 4S KC 3S; P2 wins!
 482: 4C 2C 5D AC 9H vs. 3D JD 8S QS QH; P2 wins!
 483: 2C 8S 6H 3C QH vs. 6D TC KD AC AH; P2 wins!
 484: QC 6C 3S QS 4S vs. AC 8D 5C AD KH; P2 wins!
 485: 5S 4C AC KH AS vs. QC 2C 5C 8D 9C; P1 wins!
 486: 8H JD 3C KH 8D vs. 5C 9C QD QH 9D; P2 wins!
 487: 7H TS 2C 8C 4S vs. TD JC 9C 5H QH; P2 wins!
 488: JS 4S 2C 7C TH vs. 6C AS KS 7S JD; P2 wins!
 489: JH 7C 9H 7H TC vs. 5H 3D 6D 5D 4D; P1 wins!
 490: 2C QD JH 2H 9D vs. 5S 3D TD AD KS; P1 wins!
 491: JD QH 3S 4D TH vs. 7D 6S QS KS 4H; P2 wins!
 492: TC KS 5S 8D 8H vs. AD 2S 2D 4C JH; P1 wins!
 493: 5S JH TC 3S 2D vs. QS 9D 4C KD 9S; P2 wins!
 494: AC KH 3H AS 9D vs. KC 9H QD 6C 6S; P1 wins!
 495: 9H 7S 3D 5C 7D vs. KC TD 8H 4H 6S; P1 wins!
 496: 3C 7H 8H TC QD vs. 4D 7S 6S QH 6C; P2 wins!
 497: 6D AD 4C QD 6C vs. 5D 7D 9D KS TS; P1 wins!
 498: JH 2H JD 9S 7S vs. TS KH 8D 5D 8H; P1 wins!
 499: 2D 9S 4C 7D 9D vs. 5H QD 6D AC 6S; P1 wins!
 500: 7S 6D JC QD JH vs. 4C 6S QS 2H 7D; P1 wins!
 501: 8C TD JH KD 2H vs. 5C QS 2C JS 7S; P1 wins!
 502: TC 5H 4H JH QD vs. 3S 5S 5D 8S KH; P2 wins!
 503: KS KH 7C 2C 5D vs. JH 6S 9C 6D JC; P2 wins!
 504: 5H AH JD 9C JS vs. KC 2H 6H 4D 5S; P1 wins!
 505: AS 3C TH QC 6H vs. 9C 8S 8C TD 7C; P2 wins!
 506: KC 2C QD 9C KH vs. 4D 7S 3C TS 9H; P1 wins!
 507: 9C QC 2S TS 8C vs. TD 9S QD 3S 3C; P2 wins!
 508: 4D 9D TH JH AH vs. 6S 2S JD QH JS; P2 wins!
 509: QD 9H 6C KD 7D vs. 7H 5D 6S 8H AH; P2 wins!
 510: 8H 3C 4S 2H 5H vs. QS QH 7S 4H AC; P2 wins!
 511: QS 3C 7S 9S 4H vs. 3S AH KS 9D 7C; P2 wins!
 512: AD 5S 6S 2H 2D vs. 5H TC 4S 3C 8C; P1 wins!
 513: QH TS 6S 4D JS vs. KS JH AS 8S 6D; P2 wins!
 514: 2C 8S 2S TD 5H vs. AS TC TS 6C KC; P2 wins!
 515: KC TS 8H 2H 3H vs. 7C 4C 5S TH TD; P2 wins!
 516: KD AD KH 7H 7S vs. 5D 5H 5S 2D 9C; P2 wins!
 517: AD 9S 3D 7S 8C vs. QC 7C 9C KD KS; P2 wins!
 518: 3C QC 9S 8C 4D vs. 5C AS QD 6C 2C; P2 wins!
 519: 2H KC 8S JD 7S vs. AC 8D 5C 2S 4D; P2 wins!
 520: 9D QH 3D 2S TC vs. 3S KS 3C 9H TD; P2 wins!
 521: KD 6S AC 2C 7H vs. 5H 3S 6C 6H 8C; P2 wins!
 522: QH TC 8S 6S KH vs. TH 4H 5D TS 4D; P2 wins!
 523: 8C JS 4H 6H 2C vs. 2H 7D AC QD 3D; P2 wins!
 524: QS KC 6S 2D 5S vs. 4H TD 3H JH 4C; P2 wins!
 525: 7S 5H 7H 8H KH vs. 6H QS TH KD 7D; P1 wins!
 526: 5H AD KD 7C KH vs. 5S TD 6D 3C 6C; P1 wins!
 527: 8C 9C 5H JD 7C vs. KC KH 7H 2H 3S; P2 wins!
 528: 7S 4H AD 4D 8S vs. QS TH 3D 7H 5S; P1 wins!
 529: 8D TC KS KD 9S vs. 6D AD JD 5C 2S; P1 wins!
 530: 7H 8H 6C QD 2H vs. 6H 9D TC 9S 7C; P2 wins!
 531: 8D 6D 4C 7C 6C vs. 3C TH KH JS JH; P2 wins!
 532: 5S 3S 8S JS 9H vs. AS AD 8H 7S KD; P2 wins!
 533: JH 7C 2C KC 5H vs. AS AD 9C 9S JS; P2 wins!
 534: AD AC 2C 6S QD vs. 7C 3H TH KS KD; P1 wins!
 535: 9D JD 4H 8H 4C vs. KH 7S TS 8C KC; P2 wins!
 536: 3S 5S 2H 7S 6H vs. 7D KS 5C 6D AD; P2 wins!
 537: 5S 8C 9H QS 7H vs. 7S 2H 6C 7D TD; P2 wins!
 538: QS 5S TD AC 9D vs. KC 3D TC 2D 4D; P1 wins!
 539: TD 2H 7D JD QD vs. 4C 7H 5D KC 3D; P2 wins!
 540: 4C 3H 8S KD QH vs. 5S QC 9H TC 5H; P2 wins!
 541: 9C QD TH 5H TS vs. 5C 9H AH QH 2C; P1 wins!
 542: 4D 6S 3C AC 6C vs. 3D 2C 2H TD TH; P2 wins!
 543: AC 9C 5D QC 4D vs. AD 8D 6D 8C KC; P2 wins!
 544: AD 3C 4H AC 8D vs. 8H 7S 9S TD JC; P2 wins!
 545: 4H 9H QH JS 2D vs. TH TD TC KD KS; P2 wins!
 546: 5S 6S 9S 8D TH vs. AS KH 5H 5C 8S; P2 wins!
 547: JD 2S 9S 6S 5S vs. 8S 5D 7S 7H 9D; P2 wins!
 548: 5D 8C 4C 9D AD vs. TS 2C 7D KD TC; P2 wins!
 549: 8S QS 4D KC 5C vs. 8D 4S KH JD KD; P2 wins!
 550: AS 5C AD QH 7D vs. 2H 9S 7H 7C TC; P1 wins!
 551: 2S 8S JD KH 7S vs. 6C 6D AD 5D QC; P2 wins!
 552: 9H 6H 3S 8C 8H vs. AH TC 4H JS TD; P2 wins!
 553: 2C TS 4D 7H 2D vs. QC 9C 5D TH 7C; P1 wins!
 554: 6C 8H QC 5D TS vs. JH 5C 5H 9H 4S; P2 wins!
 555: 2D QC 7H AS JS vs. 8S 2H 4C 4H 8D; P2 wins!
 556: JS 6S AC KD 3D vs. 3C 4S 7H TH KC; P1 wins!
 557: QH KH 6S QS 5S vs. 4H 3C QD 3S 3H; P2 wins!
 558: 7H AS KH 8C 4H vs. 9C 5S 3D 6S TS; P1 wins!
 559: 9C 7C 3H 5S QD vs. 2C 3D AD AC 5H; P2 wins!
 560: JH TD 2D 4C TS vs. 3H KH AD 3S 7S; P1 wins!
 561: AS 4C 5H 4D 6S vs. KD JC 3C 6H 2D; P1 wins!
 562: 3H 6S 8C 2D TH vs. 4S AH QH AD 5H; P2 wins!
 563: 7C 2S 9H 7H KC vs. 5C 6D 5S 3H JC; P1 wins!
 564: 3C TC 9C 4H QD vs. TD JH 6D 9H 5S; P1 wins!
 565: 7C 6S 5C 5D 6C vs. 4S 7H 9H 6H AH; P1 wins!
 566: AD 2H 7D KC 2C vs. 4C 2S 9S 7H 3S; P1 wins!
 567: TH 4C 8S 6S 3S vs. AD KS AS JH TD; P2 wins!
 568: 5C TD 4S 4D AD vs. 6S 5D TC 9C 7D; P1 wins!
 569: 8H 3S 4D 4S 5S vs. 6H 5C AC 3H 3D; P1 wins!
 570: 9H 3C AC 4S QS vs. 8S 9D QH 5H 4D; P1 wins!
 571: JC 6C 5H TS AC vs. 9C JD 8C 7C QD; P1 wins!
 572: 8S 8H 9C JD 2D vs. QC QH 6H 3C 8D; P2 wins!
 573: KS JS 2H 6H 5H vs. QH QS 3H 7C 6D; P2 wins!
 574: TC 3H 4S 7H QC vs. 2H 3S 8C JS KH; P2 wins!
 575: AH 8H 5S 4C 9H vs. JD 3H 7S JC AC; P2 wins!
 576: 3C 2D 4C 5S 6C vs. 4S QS 3S JD 3D; P1 wins!
 577: 5H 2D TC AH KS vs. 6D 7H AD 8C 6H; P2 wins!
 578: 6C 7S 3C JD 7C vs. 8H KS KH AH 6D; P2 wins!
 579: AH 7D 3H 8H 8S vs. 7H QS 5H 9D 2D; P1 wins!
 580: JD AC 4H 7S 8S vs. 9S KS AS 9D QH; P2 wins!
 581: 7S 2C 8S 5S JH vs. QS JC AH KD 4C; P2 wins!
 582: AH 2S 9H 4H 8D vs. TS TD 6H QH JD; P2 wins!
 583: 4H JC 3H QS 6D vs. 7S 9C 8S 9D 8D; P2 wins!
 584: 5H TD 4S 9S 4C vs. 8C 8D 7H 3H 3D; P2 wins!
 585: QS KH 3S 2C 2S vs. 3C 7S TD 4S QD; P1 wins!
 586: 7C TD 4D 5S KH vs. AC AS 7H 4C 6C; P2 wins!
 587: 2S 5H 6D JD 9H vs. QS 8S 2C 2H TD; P2 wins!
 588: 2S TS 6H 9H 7S vs. 4H JC 4C 5D 5S; P2 wins!
 589: 2C 5H 7D 4H 3S vs. QH JC JS 6D 8H; P2 wins!
 590: 4C QH 7C QD 3S vs. AD TH 8S 5S TS; P2 wins!
 591: 9H TC 2S TD JC vs. 7D 3S 3D TH QH; P1 wins!
 592: 7D 4C 8S 5C JH vs. 8H 6S 3S KC 3H; P2 wins!
 593: JC 3H KH TC QH vs. TH 6H 2C AC 5H; P2 wins!
 594: QS 2H 9D 2C AS vs. 6S 6C 2S 8C 8S; P2 wins!
 595: 9H 7D QC TH 4H vs. KD QS AC 7S 3C; P2 wins!
 596: 4D JH 6S 5S 8H vs. KS 9S QC 3S AS; P2 wins!
 597: JD 2D 6S 7S TC vs. 9H KC 3H 7D KD; P2 wins!
 598: 2H KH 7C 4D 4S vs. 3H JS QD 7D KC; P1 wins!
 599: 4C JC AS 9D 3C vs. JS 6C 8H QD 4D; P1 wins!
 600: AH JS 3S 6C 4C vs. 3D JH 6D 9C 9H; P2 wins!
 601: 9H 2D 8C 7H 5S vs. KS 6H 9C 2S TC; P2 wins!
 602: 6C 8C AD 7H 6H vs. 3D KH AS 5D TH; P1 wins!
 603: KS 8C 3S TS 8S vs. 4D 5S 9S 6C 4H; P1 wins!
 604: 9H 4S 4H 5C 7D vs. KC 2D 2H 9D JH; P1 wins!
 605: 5C JS TC 9D 9H vs. 5H 7S KH JC 6S; P1 wins!
 606: 7C 9H 8H 4D JC vs. KH JD 2H TD TC; P2 wins!
 607: 8H 6C 2H 2C KH vs. 6H 9D QS QH 5H; P1 wins!
 608: AC 7D 2S 3D QD vs. JC 2D 8D JD JH; P2 wins!
 609: 2H JC 2D 7H 2C vs. 3C 8D KD TD 4H; P1 wins!
 610: 3S 4H 6D 8D TS vs. 3H TD 3D 6H TH; P2 wins!
 611: JH JC 3S AC QH vs. 9H 7H 8S QC 2C; P1 wins!
 612: 7H TD QS 4S 8S vs. 9C 2S 5D 4D 2H; P2 wins!
 613: 3D TS 3H 2S QC vs. 8H 6H KC JC KS; P2 wins!
 614: 5D JD 7D TC 8C vs. 6C 9S 3D 8D AC; P2 wins!
 615: 8H 6H JH 6C 5D vs. 8D 8S 4H AD 2C; P2 wins!
 616: 9D 4H 2D 2C 3S vs. TS AS TC 3C 5D; P2 wins!
 617: 4D TH 5H KS QS vs. 6C 4S 2H 3D AD; P2 wins!
 618: 5C KC 6H 2C 5S vs. 3C 4D 2D 9H 9S; P2 wins!
 619: JD 4C 3H TH QH vs. 9H 5S AH 8S AC; P2 wins!
 620: 7D 9S 6S 2H TD vs. 9C 4H 8H QS 4C; P2 wins!
 621: 3C 6H 5D 4H 8C vs. 9C KC 6S QD QS; P2 wins!
 622: 3S 9H KD TC 2D vs. JS 8C 6S 4H 4S; P2 wins!
 623: 2S 4C 8S QS 6H vs. KH 3H TH 8C 5D; P2 wins!
 624: 2C KH 5S 3S 7S vs. 7H 6C 9D QD 8D; P1 wins!
 625: 8H KS AC 2D KH vs. TS 6C JS KC 7H; P1 wins!
 626: 9C KS 5C TD QC vs. AH 6C 5H 9S 7C; P2 wins!
 627: 5D 4D 3H 4H 6S vs. 7C 7S AH QD TD; P2 wins!
 628: 2H 7D QC 6S TC vs. TS AH 7S 9D 3H; P2 wins!
 629: TH 5H QD 9S KS vs. 7S 7C 6H 8C TD; P2 wins!
 630: TH 2D 4D QC 5C vs. 7D JD AH 9C 4H; P2 wins!
 631: 4H 3H AH 8D 6H vs. QC QH 9H 2H 2C; P2 wins!
 632: 2D AD 4C TS 6H vs. 7S TH 4H QS TD; P2 wins!
 633: 3C KD 2H 3H QS vs. JD TC QC 5D 8H; P1 wins!
 634: KS JC QD TH 9S vs. KD 8D 8C 2D 9C; P1 wins!
 635: 3C QD KD 6D 4D vs. 8D AH AD QC 8S; P2 wins!
 636: 8H 3S 9D 2S 3H vs. KS 6H 4C 7C KC; P2 wins!
 637: TH 9S 5C 3D 7D vs. 6H AC 7S 4D 2C; P2 wins!
 638: 5C 3D JD 4D 2D vs. 6D 5H 9H 4C KH; P2 wins!
 639: AS 7H TD 6C 2H vs. 3D QD KS 4C 4S; P2 wins!
 640: JC 3C AC 7C JD vs. JS 8H 9S QC 5D; P1 wins!
 641: JD 6S 5S 2H AS vs. 8C 7D 5H JH 3D; P1 wins!
 642: 8D TC 5S 9S 8S vs. 3H JC 5H 7S AS; P1 wins!
 643: 5C TD 3D 7D 4H vs. 8D 7H 4D 5D JS; P2 wins!
 644: QS 9C KS TD 2S vs. 8S 5C 2H 4H AS; P2 wins!
 645: TH 7S 4H 7D 3H vs. JD KD 5D 2S KC; P2 wins!
 646: JD 7H 4S 8H 4C vs. JS 6H QH 5S 4H; P1 wins!
 647: 2C QS 8C 5S 3H vs. QC 2S 6C QD AD; P2 wins!
 648: 8C 3D JD TC 4H vs. 2H AD 5S AC 2S; P2 wins!
 649: 5D 2C JS 2D AD vs. 9D 3D 4C 4S JH; P1 wins!
 650: 8D 5H 5D 6H 7S vs. 4D KS 9D TD JD; P1 wins!
 651: 3D 6D 9C 2S AS vs. 7D 5S 5C 8H JD; P2 wins!
 652: 7C 8S 3S 6S 5H vs. JD TC AD 7H 7S; P2 wins!
 653: 2S 9D TS 4D AC vs. 8D 6C QD JD 3H; P1 wins!
 654: 9S KH 2C 3C AC vs. 3D 5H 6H 8D 5D; P2 wins!
 655: KS 3D 2D 6S AS vs. 4C 2S 7C 7H KH; P2 wins!
 656: AC 2H 3S JC 5C vs. QH 4D 2D 5H 7S; P1 wins!
 657: TS AS JD 8C 6H vs. JC 8S 5S 2C 5D; P2 wins!
 658: 7S QH 7H 6C QC vs. 8H 2D 7C JD 2S; P1 wins!
 659: 2C QD 2S 2H JC vs. 9C 5D 2D JD JH; P2 wins!
 660: 7C 5C 9C 8S 7D vs. 6D 8D 6C 9S JH; P1 wins!
 661: 2C AD 6S 5H 3S vs. KS 7S 9D KH 4C; P2 wins!
 662: 7H 6C 2C 5C TH vs. 9D 8D 3S QC AH; P2 wins!
 663: 5S KC 6H TC 5H vs. 8S TH 6D 3C AH; P1 wins!
 664: 9C KD 4H AD TD vs. 9S 4S 7D 6H 5D; P1 wins!
 665: 7H 5C 5H 6D AS vs. 4C KD KH 4H 9D; P2 wins!
 666: 3C 2S 5C 6C JD vs. QS 2H 9D 7D 3H; P2 wins!
 667: AC 2S 6S 7S JS vs. QD 5C QS 6H AD; P2 wins!
 668: 5H TH QC 7H TC vs. 3S 7C 6D KC 3D; P1 wins!
 669: 4H 3D QC 9S 8H vs. 2C 3S JC KS 5C; P2 wins!
 670: 4S 6S 2C 6H 8S vs. 3S 3D 9H 3H JS; P2 wins!
 671: 4S 8C 4D 2D 8H vs. 9H 7D 9D AH TS; P2 wins!
 672: 9S 2C 9H 4C 8D vs. AS 7D 3D 6D 5S; P1 wins!
 673: 6S 4C 7H 8C 3H vs. 5H JC AH 9D 9C; P2 wins!
 674: 2S 7C 5S JD 8C vs. 3S 3D 4D 7D 6S; P2 wins!
 675: 3C KC 4S 5D 7D vs. 3D JD 7H 3H 4H; P2 wins!
 676: 9C 9H 4H 4D TH vs. 6D QD 8S 9S 7S; P1 wins!
 677: 2H AC 8S 4S AD vs. 8C 2C AH 7D TC; P1 wins!
 678: TS 9H 3C AD KS vs. TC 3D 8C 8H JD; P2 wins!
 679: QC 8D 2C 3C 7D vs. 7C JD 9H 9C 6C; P2 wins!
 680: AH 6S JS JH 5D vs. AS QC 2C JD TD; P1 wins!
 681: 9H KD 2H 5D 2D vs. 3S 7D TC AH TS; P1 wins!
 682: TD 8H AS 5D AH vs. QC AC 6S TC 5H; P1 wins!
 683: KS 4S 7H 4D 8D vs. 9C TC 2H 6H 3H; P1 wins!
 684: 3H KD 4S QD QH vs. 3D 8H 8C TD 7S; P1 wins!
 685: 8S JD TC AH JS vs. QS 2D KH KS 4D; P2 wins!
 686: 3C AD JC KD JS vs. KH 4S TH 9H 2C; P1 wins!
 687: QC 5S JS 9S KS vs. AS 7C QD 2S JD; P2 wins!
 688: KC 5S QS 3S 2D vs. AC 5D 9H 8H KS; P2 wins!
 689: 6H 9C TC AD 2C vs. 6D 5S JD 6C 7C; P2 wins!
 690: QS KH TD QD 2C vs. 3H 8S 2S QC AH; P1 wins!
 691: 9D 9H JH TC QH vs. 3C 2S JS 5C 7H; P1 wins!
 692: 6C 3S 3D 2S 4S vs. QD 2D TH 5D 2C; P1 wins!
 693: 2D 6H 6D 2S JC vs. QH AS 7H 4H KH; P1 wins!
 694: 5H 6S KS AD TC vs. TS 7C AC 4S 4H; P2 wins!
